external_gene_name,gene,HU_No_Ex_vs_NL_No_Ex_log2FoldChange,HU_No_Ex_vs_NL_No_Ex_pvalue,HU_No_Ex_vs_NL_No_Ex_padj,HU_Ex_vs_NL_Ex_log2FoldChange,HU_Ex_vs_NL_Ex_pvalue,HU_Ex_vs_NL_Ex_padj,HU_No_Ex_vs_HU_Ex_log2FoldChange,HU_No_Ex_vs_HU_Ex_pvalue,HU_No_Ex_vs_HU_Ex_padj,NL_No_Ex_vs_NL_Ex_log2FoldChange,NL_No_Ex_vs_NL_Ex_pvalue,NL_No_Ex_vs_NL_Ex_padj,
Fabp4,ENSMUSG00000062515,-0.074510864,0.825889142,0.951676864,0.032459386,0.92365561,1,-0.363682114,0.282961362,0.835005686,-0.256711864,0.448515689,1,0
Fasn,ENSMUSG00000025153,-0.896394154,0.027729183,0.197743705,-0.657687923,0.106309201,0.962016865,-1.1694353,0.004084676,0.216102636,-0.930729068,0.022284487,1,0
Sparc,ENSMUSG00000018593,-0.460007703,0.176215959,0.503280481,0.837935232,0.013750853,0.782214976,-0.910092785,0.007454484,0.279328256,0.387850151,0.254136752,1,0
Col3a1,ENSMUSG00000026043,-0.811059072,0.076337602,0.332323039,1.09934884,0.016289859,0.808543965,-1.260143229,0.005892658,0.253508193,0.650264683,0.155319396,1,0
Col1a2,ENSMUSG00000029661,-0.51640146,0.191084892,0.524496294,1.080626343,0.006221103,0.670125294,-1.080213341,0.006241821,0.262602307,0.516814462,0.19072231,1,0
Gpd1,ENSMUSG00000023019,0.142985094,0.609699466,0.861094712,0.012066539,0.965635561,1,-0.140875441,0.614987009,0.962862189,-0.271793996,0.331833561,1,0
Col1a1,ENSMUSG00000001506,-0.812685988,0.097643932,0.37559489,1.549594211,0.001586604,0.396670602,-1.389717596,0.004618831,0.227299527,0.972562603,0.047450988,1,0
Rpsa,ENSMUSG00000032518,0.298153756,0.139682845,0.451558098,0.344627814,0.087789026,0.962016865,-0.027687713,0.890906834,0.992623792,0.018786345,0.925854259,1,0
Thrsp,ENSMUSG00000035686,-0.283175597,0.544149497,0.825942846,-0.118713284,0.799271558,1,-0.636526622,0.172752247,0.752418302,-0.472064309,0.311927536,1,0
Tkt,ENSMUSG00000021957,-0.555010597,0.150736944,0.469844407,0.190926195,0.621046245,1,-1.245408031,0.001262205,0.110105803,-0.499471238,0.195918455,1,0
Atp1a2,ENSMUSG00000007097,0.476285343,0.254289977,0.595491327,0.257307247,0.537990229,1,0.275331814,0.509893431,0.939164603,0.056353719,0.892705691,1,0
Lars2,ENSMUSG00000035202,0.187138453,0.838070628,0.955286822,1.702109008,0.06306202,0.962016865,-0.689230134,0.451649322,0.922784436,0.825740421,0.367201033,1,0
Rplp1,ENSMUSG00000007892,0.260911401,0.153516491,0.473559977,0.37927113,0.038016096,0.915023213,-0.10414875,0.568874979,0.955986646,0.014210978,0.938037758,1,0
Rps14,ENSMUSG00000024608,0.48753189,0.079579982,0.339042108,0.40586191,0.14444871,0.962016865,0.065016048,0.815144049,0.985240159,-0.016653932,0.952247505,1,0
Neat1,ENSMUSG00000092274,0.187909238,0.412227049,0.737656466,-0.044468178,0.846125733,1,-0.110359355,0.630111343,0.966341626,-0.342736771,0.134716481,1,0
Serpina3n,ENSMUSG00000021091,0.215900505,0.70931375,0.905167533,0.125002342,0.829116401,1,-0.176134489,0.761038213,0.980337312,-0.267032652,0.644748137,1,0
Rps2,ENSMUSG00000044533,0.564914222,0.043780769,0.249682213,0.483445997,0.08446124,0.962016865,0.098212016,0.725944292,0.973650488,0.016743792,0.952350138,1,0
Gpx4,ENSMUSG00000075706,0.352934623,0.04656417,0.257809615,0.118105098,0.505359873,1,-0.038298806,0.829007186,0.986434814,-0.273128331,0.123476227,1,0
Cxcl12,ENSMUSG00000061353,-0.007609592,0.981399135,0.998696403,0.822871206,0.011698603,0.770139262,-0.361193922,0.268443904,0.826062156,0.469286876,0.150491366,1,0
Acaca,ENSMUSG00000020532,-0.900599314,0.013697916,0.135479313,-0.55231761,0.130468419,0.962016865,-1.23499691,0.000723845,0.080253151,-0.886715206,0.015188645,1,0
Bltp2,ENSMUSG00000010277,0.731418289,0.047386641,0.259904301,0.1389873,0.706342142,1,0.41425208,0.261434864,0.823174794,-0.178178909,0.629083214,1,0
Rplp2,ENSMUSG00000025508,0.164678116,0.381640829,0.714555275,0.214523111,0.254353879,0.974532838,-0.18688548,0.320780036,0.863098544,-0.137040485,0.466524512,1,0
Crat,ENSMUSG00000026853,0.629897845,0.029174078,0.202040134,0.206743887,0.474074586,1,0.251542382,0.383747683,0.897824768,-0.171611576,0.552368927,1,0
Chchd2,ENSMUSG00000070493,0.504295641,0.015220996,0.143352362,0.204627774,0.324687048,0.988173535,0.070803347,0.733274179,0.974419153,-0.22886452,0.270683892,1,0
Rps15,ENSMUSG00000063457,0.482463806,0.019401927,0.162653274,0.35745847,0.083240472,0.962016865,-0.089483016,0.664567766,0.968819509,-0.214488352,0.29867097,1,0
Taldo1,ENSMUSG00000025503,-0.237654979,0.326034392,0.666641815,0.074458349,0.758251147,1,-0.497493611,0.039793222,0.54033802,-0.185380283,0.443497508,1,0
Slc25a1,ENSMUSG00000003528,-0.536945439,0.091320462,0.364316507,-0.221999854,0.484981021,1,-0.876408613,0.005852385,0.253508193,-0.561463028,0.077375858,1,0
Eno1,ENSMUSG00000063524,-0.456069069,0.182539827,0.512254174,0.168781922,0.621739082,1,-0.738497103,0.030895084,0.500384347,-0.113646112,0.739726138,1,0
Eif5a,ENSMUSG00000078812,0.410847229,0.03622146,0.227079785,0.378403731,0.053730938,0.962016865,0.004358421,0.982273226,1,-0.028085076,0.886158505,1,0
Serpinh1,ENSMUSG00000070436,-0.466300311,0.109516734,0.397380426,0.367256827,0.207416012,0.967822701,-0.787552827,0.006873538,0.270432457,0.046004311,0.874517905,1,0
Amotl1,ENSMUSG00000013076,0.781213014,0.032965624,0.215038039,0.087908371,0.810377822,1,0.72990767,0.046331183,0.571451066,0.036603027,0.920416277,1,0
Rpl9,ENSMUSG00000047215,0.264437214,0.228220652,0.567899596,0.42443902,0.053108782,0.962016865,-0.114182752,0.602855363,0.962079529,0.045819053,0.834619114,1,0
Rnf10,ENSMUSG00000041740,0.602070025,0.044382001,0.251774137,0.236781445,0.429167595,1,0.31887654,0.286969097,0.838572643,-0.046412039,0.87684276,1,0
Ghitm,ENSMUSG00000041028,0.576858755,0.023976439,0.182799958,0.108605511,0.670843937,1,0.331529219,0.19450028,0.771986159,-0.136724025,0.592622681,1,0
Rpl10a,ENSMUSG00000037805,0.191889098,0.329050098,0.669449325,0.292762977,0.136437173,0.962016865,-0.118959457,0.545135526,0.950299507,-0.018085578,0.926700098,1,0
Mbnl1,ENSMUSG00000027763,0.675655289,0.033134224,0.215745425,0.082983584,0.793612046,1,0.623135566,0.049445974,0.577092596,0.030463862,0.923481069,1,0
Hipk3,ENSMUSG00000027177,0.64189737,0.055205844,0.282851839,-0.090830801,0.786189243,1,0.678736766,0.042649424,0.555917256,-0.053991405,0.871891976,1,0
Cox6a1,ENSMUSG00000041697,-0.271699712,0.405168193,0.733071944,0.073725538,0.821258731,1,-0.627997212,0.054349192,0.595030807,-0.282571962,0.386534174,1,0
Rpl18,ENSMUSG00000059070,0.237499554,0.200545272,0.53682308,0.325445347,0.079426586,0.962016865,-0.088028199,0.635201387,0.967300294,-8.24E-05,0.999645628,1,0
Serpine2,ENSMUSG00000026249,0.152350464,0.578985801,0.84550339,0.52257197,0.057003358,0.962016865,-0.265669587,0.333246159,0.870436498,0.10455192,0.703361101,1,0
Nfic,ENSMUSG00000055053,0.553830572,0.03501516,0.222577756,0.093116915,0.723051137,1,0.498421342,0.05781785,0.599457667,0.037707685,0.885877918,1,0
Rpl41,ENSMUSG00000093674,-0.97237747,0.026149313,0.191861493,0.417009433,0.340085518,0.988173535,-1.350938498,0.002002733,0.1515964,0.038448404,0.929909639,1,0
Rps20,ENSMUSG00000028234,0.316954929,0.069696043,0.317124953,0.396596424,0.023237702,0.864779091,-0.029466287,0.86608776,0.99209571,0.050175208,0.774015382,1,0
Ube2d3,ENSMUSG00000078578,0.681452785,0.012522169,0.129050311,0.208518911,0.444856954,1,0.349008798,0.200939377,0.778089548,-0.123925076,0.649780745,1,0
Calm3,ENSMUSG00000019370,0.900499042,0.003892821,0.06804064,0.061912539,0.842696631,1,0.678156498,0.029713862,0.49264867,-0.160430006,0.607086777,1,0
Fau,ENSMUSG00000038274,0.106840005,0.604799525,0.859439344,0.406861396,0.048723782,0.950013149,-0.279695767,0.175477624,0.753431384,0.020325624,0.921563966,1,0
Rps23,ENSMUSG00000049517,0.094672653,0.651520331,0.880898704,0.410062529,0.050431551,0.956263428,-0.185473638,0.376264685,0.892054942,0.129916239,0.53538029,1,0
Cox8a,ENSMUSG00000035885,-0.296242022,0.362194835,0.697597043,0.129203787,0.691002561,1,-0.608725963,0.061161932,0.611132346,-0.183280153,0.572845719,1,0
Bag1,ENSMUSG00000028416,0.386218167,0.043229549,0.247701503,0.279156027,0.143989082,0.962016865,0.033167973,0.862177618,0.991356988,-0.073894166,0.69893361,1,0
Kif1b,ENSMUSG00000063077,0.765062482,0.029845572,0.204119885,-0.131807226,0.708247547,1,0.487219111,0.166582513,0.745824385,-0.409650597,0.244809576,1,0
Rps16,ENSMUSG00000037563,0.234600257,0.233718516,0.575060433,0.476938684,0.015493628,0.806804483,-0.06291874,0.749449561,0.977935207,0.179419686,0.362479993,1,0
H2-Q10,ENSMUSG00000067235,-0.179733907,0.668868022,0.889377233,-0.161127678,0.701315634,1,-0.863555361,0.039873063,0.54033802,-0.844949132,0.044305162,1,0
Gpt2,ENSMUSG00000031700,0.751065629,0.01948888,0.163153088,-0.150965507,0.6387307,1,0.703643468,0.028644521,0.487159304,-0.198387668,0.537231083,1,0
Rps17,ENSMUSG00000061787,0.308174952,0.086055704,0.35314303,0.403776989,0.024511829,0.872610853,-0.058928959,0.742724886,0.976143829,0.036673078,0.838147039,1,0
