external_gene_name,gene,HU_No_Ex_vs_NL_No_Ex_log2FoldChange,HU_No_Ex_vs_NL_No_Ex_pvalue,HU_No_Ex_vs_NL_No_Ex_padj,HU_Ex_vs_NL_Ex_log2FoldChange,HU_Ex_vs_NL_Ex_pvalue,HU_Ex_vs_NL_Ex_padj,HU_No_Ex_vs_HU_Ex_log2FoldChange,HU_No_Ex_vs_HU_Ex_pvalue,HU_No_Ex_vs_HU_Ex_padj,NL_No_Ex_vs_NL_Ex_log2FoldChange,NL_No_Ex_vs_NL_Ex_pvalue,NL_No_Ex_vs_NL_Ex_padj,
Gm48607,ENSMUSG00000113735,-3.387533056,0.428296729,NA,4.186492236,0.327252233,NA,-3.901297747,0.361281271,NA,3.672727545,0.390452556,1,0
Gm47874,ENSMUSG00000112263,0,1,NA,5.106397256,0.230760386,NA,-4.821202767,0.257856844,NA,0,1,1,0
3300002A11Rik,ENSMUSG00000033731,4.984959319,0.242755578,NA,-4.148421084,0.331348145,NA,4.651750459,0.275681075,NA,-4.481629944,0.293993613,1,0
Gm47541,ENSMUSG00000113519,-3.177189022,0.458011262,NA,-4.589690606,0.281798187,NA,0,1,NA,-1.221805031,0.76756509,1,0
Gm29697,ENSMUSG00000115587,0,1,NA,-5.211959622,0.220970402,NA,0,1,NA,-5.545135483,0.192861289,1,0
Gm49526,ENSMUSG00000115975,-3.387532396,0.428296808,NA,4.757683386,0.26460708,NA,-4.472488897,0.29431785,NA,3.672726885,0.39045263,1,0
Gm49520,ENSMUSG00000116239,-2.221616893,0.606480038,NA,-4.889658323,0.251172794,NA,0,1,NA,-2.47733851,0.551823731,1,0
Mir3081,ENSMUSG00000093046,-1.808838423,0.676451398,NA,-4.633936674,0.277126317,NA,0,1,NA,-2.634388838,0.529377245,1,0
Tmem30c,ENSMUSG00000022753,-2.542138609,0.554382138,NA,-3.597830611,0.398879553,NA,-0.771046973,0.86112249,NA,-1.826738975,0.66008447,1,0
Gm49625,ENSMUSG00000116987,5.046112154,0.236931958,NA,-2.876449204,0.503888028,NA,4.712915055,0.26932264,NA,-3.209646303,0.455794494,1,0
Gpr31a,ENSMUSG00000116935,0,1,NA,5.0462255,0.236367074,NA,-4.761031011,0.263911298,NA,0,1,1,0
Gm8815,ENSMUSG00000092224,0,1,NA,-5.176208462,0.224184746,NA,0,1,NA,-5.509383976,0.195776005,1,0
Gm38220,ENSMUSG00000103558,0,1,NA,-5.176208462,0.224184746,NA,0,1,NA,-5.509383976,0.195776005,1,0
Mospd4,ENSMUSG00000046487,4.463428673,0.296596956,NA,-4.210540444,0.32404669,NA,4.130224275,0.334112327,NA,-4.543744842,0.287241836,1,0
Gm42723,ENSMUSG00000105709,0,1,NA,-5.211959622,0.220970402,NA,0,1,NA,-5.545135483,0.192861289,1,0
Gm7114,ENSMUSG00000100481,-1.259829546,0.770206897,NA,-4.663753146,0.274008306,NA,1.152483125,0.793714044,NA,-2.251440475,0.588883433,1,0
