external_gene_name,gene,HU_No_Ex_vs_NL_No_Ex_log2FoldChange,HU_No_Ex_vs_NL_No_Ex_pvalue,HU_No_Ex_vs_NL_No_Ex_padj,HU_Ex_vs_NL_Ex_log2FoldChange,HU_Ex_vs_NL_Ex_pvalue,HU_Ex_vs_NL_Ex_padj,HU_No_Ex_vs_HU_Ex_log2FoldChange,HU_No_Ex_vs_HU_Ex_pvalue,HU_No_Ex_vs_HU_Ex_padj,NL_No_Ex_vs_NL_Ex_log2FoldChange,NL_No_Ex_vs_NL_Ex_pvalue,NL_No_Ex_vs_NL_Ex_padj
mt-Co1,ENSMUSG00000064351,1.29125523,0.005767826,0.083852919,0.490966934,0.293862728,0.982279162,0.160309482,0.731793141,0.973820647,-0.639978814,0.171227406,1
Scd1,ENSMUSG00000037071,-0.557712118,0.181103785,0.509739925,-1.167030727,0.00513418,0.626339024,-0.55624814,0.182252173,0.757248254,-1.165566748,0.005190229,1
mt-Cytb,ENSMUSG00000064370,1.235227238,0.009070495,0.108074495,0.425429612,0.36880681,0.995229895,0.133912608,0.777262999,0.981324142,-0.675885018,0.153352674,1
Car3,ENSMUSG00000027559,-0.17127308,0.57484358,0.844406247,-0.492974635,0.106412324,0.962016865,0.100940297,0.740957369,0.976125639,-0.220761259,0.469671509,1
Gsn,ENSMUSG00000026879,-0.30354503,0.304320815,0.645579186,-0.644971257,0.029064144,0.883122691,0.152702538,0.605330793,0.962079529,-0.188723689,0.523047715,1
Prg4,ENSMUSG00000006014,-0.016819443,0.96697349,0.995411231,0.243514084,0.548867071,1,-0.132348812,0.744573579,0.976766872,0.127984716,0.752715915,1
Cfd,ENSMUSG00000061780,-0.368120907,0.260562547,0.601881695,-0.121798586,0.709709689,1,-0.314995478,0.33569994,0.87125327,-0.068673156,0.83375947,1
mt-Nd1,ENSMUSG00000064341,1.652275061,0.016257808,0.148845557,0.846474401,0.218278705,0.97006561,0.177289371,0.796521739,0.982551479,-0.628511289,0.360659948,1
NA,ENSMUSG00000106106,0.520568555,0.550617189,0.829441148,1.235946566,0.156476909,0.962016865,0.100198866,0.908541167,0.994627617,0.815576877,0.349755775,1
Fn1,ENSMUSG00000026193,-0.378636151,0.324700389,0.665736037,0.344311601,0.370485433,0.995621502,-0.23698967,0.537619985,0.947721597,0.485958083,0.20623204,1
mt-Nd4,ENSMUSG00000064363,1.278635845,0.008253603,0.102594514,0.453927999,0.348365036,0.98891856,0.21501655,0.656897123,0.968819509,-0.609691296,0.207831517,1
mt-Nd5,ENSMUSG00000064367,1.441827102,0.040348157,0.239735966,0.371266056,0.597560081,1,0.35434948,0.61436061,0.962862189,-0.716211566,0.308489468,1
Acta1,ENSMUSG00000031972,5.907488098,0.000365423,0.020075707,2.435247,0.141790708,0.962016865,0.48766289,0.768603914,0.980337312,-2.984578207,0.071776077,1
Atp2a1,ENSMUSG00000030730,5.832939732,0.000532903,0.023107549,1.906708034,0.257536907,0.975170328,1.149256531,0.494956432,0.933824981,-2.776975167,0.099149993,1
Eef1a1,ENSMUSG00000037742,-0.290047745,0.109061707,0.396773084,-0.007666481,0.966215555,1,-0.176218938,0.330285529,0.86883143,0.106162326,0.557521137,1
mt-Nd2,ENSMUSG00000064345,1.700601495,0.027992493,0.198325321,0.722237117,0.350704579,0.989161281,0.234973968,0.761419623,0.980337312,-0.74339041,0.336777071,1
Fabp4,ENSMUSG00000062515,-0.074510864,0.825889142,0.951676864,0.032459386,0.92365561,1,-0.363682114,0.282961362,0.835005686,-0.256711864,0.448515689,1
Aldoa,ENSMUSG00000030695,3.35413044,0.000406605,0.020763735,1.501050306,0.113571859,0.962016865,0.70286723,0.458733572,0.92424863,-1.150212903,0.225323387,1
Myh4,ENSMUSG00000057003,5.514142218,0.010857253,0.119150712,1.546572715,0.474950764,1,1.359264393,0.530056585,0.945868426,-2.60830511,0.228239458,1
Fasn,ENSMUSG00000025153,-0.896394154,0.027729183,0.197743705,-0.657687923,0.106309201,0.962016865,-1.1694353,0.004084676,0.216102636,-0.930729068,0.022284487,1
Gpx3,ENSMUSG00000018339,-0.287677912,0.308264347,0.64943575,-0.009103171,0.9742796,1,-0.45485311,0.107190681,0.68319079,-0.176278369,0.532404488,1
NA,ENSMUSG00000076258,0.130459789,0.911015118,0.979630792,1.61563289,0.166349024,0.962016865,-0.658393135,0.572745333,0.955986646,0.826779966,0.478784496,1
Lpl,ENSMUSG00000015568,-0.209201104,0.603512441,0.858018321,-0.245997301,0.541393022,1,-0.106485383,0.791505929,0.982089958,-0.14328158,0.722057636,1
Pnpla2,ENSMUSG00000025509,-0.272347318,0.493058174,0.794855252,-0.281366805,0.478850189,1,0.038385445,0.923037053,0.995893622,0.029365958,0.941082054,1
Tpm1,ENSMUSG00000032366,5.18220805,0.000558017,0.023579794,1.70589329,0.255912964,0.974532838,1.227411589,0.413674841,0.908739366,-2.24890317,0.134206845,1
Actn3,ENSMUSG00000006457,6.047165216,0.000486117,0.022590627,1.974494656,0.254700878,0.974532838,1.344777632,0.437896652,0.915600306,-2.727892928,0.115586213,1
Ckm,ENSMUSG00000030399,5.881026438,0.004752143,0.075093561,2.090299285,0.315604311,0.985989998,0.841444817,0.686234742,0.970751507,-2.949282336,0.156806823,1
Vim,ENSMUSG00000026728,-0.498554864,0.090862574,0.363450295,-0.031890326,0.913871026,1,-0.182413511,0.536147855,0.947050656,0.284251028,0.335012232,1
Fth1,ENSMUSG00000024661,0.278980123,0.113659152,0.404632898,-0.008752849,0.960415579,1,0.222225381,0.207635068,0.784133706,-0.065507591,0.710291951,1
mt-Nd6,ENSMUSG00000064368,1.342040561,0.003757423,0.066447847,0.449051603,0.332229962,0.988173535,0.313369722,0.498621887,0.934705487,-0.579619236,0.210733116,1
Sparc,ENSMUSG00000018593,-0.460007703,0.176215959,0.503280481,0.837935232,0.013750853,0.782214976,-0.910092785,0.007454484,0.279328256,0.387850151,0.254136752,1
Eef2,ENSMUSG00000034994,0.243337094,0.20931767,0.54891554,0.151377204,0.434814944,1,0.166808655,0.389461728,0.900021414,0.074848764,0.699374609,1
Plin1,ENSMUSG00000030546,-0.533552574,0.138114754,0.449203904,-0.443770364,0.217449288,0.97006561,-0.196688074,0.584635767,0.959859179,-0.106905864,0.766374311,1
Apoe,ENSMUSG00000002985,-0.531287453,0.023430468,0.180401525,0.018547337,0.936936812,1,-0.412434896,0.078526153,0.643784661,0.137399894,0.55777872,1
Tnnt3,ENSMUSG00000061723,5.935301794,0.000427161,0.021114125,2.005239292,0.233977351,0.974532838,1.150634981,0.494643137,0.933824981,-2.77942752,0.099017884,1
Igfbp5,ENSMUSG00000026185,-0.637000306,0.014435303,0.139619119,-0.025499306,0.921992334,1,-0.265524049,0.307896155,0.853980013,0.34597695,0.18394978,1
Col3a1,ENSMUSG00000026043,-0.811059072,0.076337602,0.332323039,1.09934884,0.016289859,0.808543965,-1.260143229,0.005892658,0.253508193,0.650264683,0.155319396,1
Ctsb,ENSMUSG00000021939,-0.412562121,0.041177613,0.24146676,-0.092244134,0.648010969,1,-0.318616992,0.114852928,0.692501869,0.001700995,0.993282894,1
Dcn,ENSMUSG00000019929,-0.288251185,0.419621341,0.743010914,0.340579689,0.340288914,0.988173535,-0.302717244,0.396674983,0.902575395,0.326113631,0.361190497,1
H2-D1,ENSMUSG00000073411,-0.455650134,0.068913258,0.315403916,-0.332381733,0.184528017,0.964658317,-0.292679369,0.242661576,0.810254591,-0.169410969,0.498819996,1
Cidec,ENSMUSG00000030278,-0.270830421,0.497489968,0.798252449,-0.299085032,0.453719107,1,-0.102332258,0.797684969,0.982792933,-0.130586869,0.743566846,1
Pvalb,ENSMUSG00000005716,6.356016762,0.00191334,0.046807661,1.978343648,0.334062705,0.988173535,1.73369258,0.397267551,0.902575395,-2.643980534,0.196726576,1
Tpt1,ENSMUSG00000060126,0.76980312,0.012063388,0.126319421,0.504202635,0.100145686,0.962016865,0.293809126,0.338012279,0.873050031,0.028208641,0.926710197,1
Glul,ENSMUSG00000026473,0.09035764,0.832089358,0.952689718,-0.23618116,0.579447826,1,0.275320131,0.518262747,0.941271554,-0.051218669,0.904336995,1
Cd36,ENSMUSG00000002944,-0.25185164,0.449516906,0.763906099,-0.448909138,0.177682972,0.963779955,0.013322823,0.968090964,0.9999769,-0.183734675,0.581149087,1
Dgat2,ENSMUSG00000030747,-0.604288851,0.239934773,0.582480617,-0.073258119,0.886712021,1,-0.583443996,0.256539921,0.818749774,-0.052413264,0.91881287,1
Atp5f1b,ENSMUSG00000025393,0.686231973,0.014562711,0.140095779,0.402855889,0.151508301,0.962016865,0.076873178,0.784328752,0.981370564,-0.206502905,0.462236353,1
Igfbp4,ENSMUSG00000017493,-0.386491602,0.195939768,0.531637453,-0.174492006,0.559319957,1,-0.057566164,0.847263738,0.988974289,0.154433432,0.605328844,1
Plin4,ENSMUSG00000002831,-0.528408172,0.210176686,0.54951745,-0.616021051,0.144058845,0.962016865,0.128762005,0.760106453,0.980090002,0.041149126,0.922262373,1
Cebpa,ENSMUSG00000034957,-0.451141001,0.179569577,0.507670919,-0.391230444,0.244475051,0.974532838,-0.167935952,0.617375649,0.963426928,-0.108025395,0.747927193,1
Adipoq,ENSMUSG00000022878,-0.366121435,0.23669186,0.57917965,-0.535590789,0.083439815,0.962016865,-0.173608732,0.574740319,0.956272373,-0.343078086,0.267480656,1
Bgn,ENSMUSG00000031375,-0.441715414,0.253558719,0.594821421,0.430028905,0.266333328,0.976047576,-0.459790645,0.23465278,0.804273585,0.411953675,0.286950874,1
Lipe,ENSMUSG00000003123,-0.331477626,0.380864732,0.713878339,-0.229742623,0.543610615,1,-0.19117576,0.613285233,0.962717931,-0.089440757,0.813079509,1
H2-K1,ENSMUSG00000061232,-0.632128473,0.039804289,0.23804587,-0.404541929,0.188278633,0.964658317,-0.420474731,0.171498225,0.750881145,-0.192888187,0.530431851,1
Psap,ENSMUSG00000004207,-0.182098796,0.17582455,0.502772417,-0.019372046,0.885492094,1,-0.053053903,0.693321582,0.972057351,0.109672848,0.414838803,1
B2m,ENSMUSG00000060802,-0.692688183,0.000903974,0.030372737,-0.38218646,0.067056352,0.962016865,-0.388141679,0.062951633,0.612923721,-0.077639957,0.709855541,1
Mylpf,ENSMUSG00000030672,6.219043118,0.001551387,0.041058276,1.846309641,0.347409056,0.98891856,1.424402731,0.468505555,0.926005946,-2.948330746,0.133508297,1
Cyp2e1,ENSMUSG00000025479,-0.008887946,0.987000269,1,-0.165381471,0.761754077,1,0.138339453,0.79980228,0.983271159,-0.018154072,0.973450961,1
Pck1,ENSMUSG00000027513,-0.241573132,0.566812597,0.839243951,-0.183986634,0.662677591,1,-0.032847581,0.93792518,0.996802713,0.024738916,0.953226744,1
Ldha,ENSMUSG00000063229,1.789967038,4.31E-05,0.006757505,0.738282927,0.091591492,0.962016865,0.579236454,0.185616567,0.761208221,-0.472447657,0.28033516,1
Itm2b,ENSMUSG00000022108,-0.44992584,0.009805078,0.112419856,-0.130814674,0.452702602,1,-0.194817808,0.263497943,0.82367073,0.124293358,0.475501333,1
Slc1a5,ENSMUSG00000001918,-0.480589031,0.329837107,0.670441963,-0.109575035,0.82417703,1,-0.260371945,0.597552346,0.96074528,0.110642051,0.822491191,1
Tns1,ENSMUSG00000055322,-0.423829314,0.154992989,0.474811525,-0.613326123,0.039597161,0.915023213,0.181793526,0.541895201,0.948494065,-0.007703284,0.979377841,1
Col1a2,ENSMUSG00000029661,-0.51640146,0.191084892,0.524496294,1.080626343,0.006221103,0.670125294,-1.080213341,0.006241821,0.262602307,0.516814462,0.19072231,1
Lrp1,ENSMUSG00000040249,-0.683316703,0.020519644,0.16794078,-0.325900818,0.26918476,0.976047576,-0.167645638,0.569796809,0.955986646,0.189770247,0.51993947,1
Ttn,ENSMUSG00000051747,5.948357315,0.001879213,0.046288519,1.745195315,0.361719422,0.992247578,1.28420116,0.50211408,0.936736234,-2.918960841,0.127139982,1
Ccdc80,ENSMUSG00000022665,-0.491793406,0.115675174,0.408083263,-0.70374454,0.024371109,0.872610853,0.008275379,0.978882097,1,-0.203675755,0.514671611,1
Nedd4,ENSMUSG00000032216,-0.307065059,0.1890374,0.52118983,-0.447822611,0.055435646,0.962016865,0.199741389,0.392947658,0.901686179,0.058983837,0.800799,1
Cav1,ENSMUSG00000007655,-0.320949537,0.195048741,0.530423721,-0.623945386,0.011765956,0.770139262,0.143080522,0.563523195,0.955799752,-0.159915326,0.518479459,1
Atp5f1a,ENSMUSG00000025428,0.930858152,0.00307133,0.059247012,0.577607171,0.066205984,0.962016865,0.137921309,0.660909307,0.968819509,-0.215329672,0.493459374,1
Gpd1,ENSMUSG00000023019,0.142985094,0.609699466,0.861094712,0.012066539,0.965635561,1,-0.140875441,0.614987009,0.962862189,-0.271793996,0.331833561,1
Acsl1,ENSMUSG00000018796,-0.37603228,0.347417941,0.686868636,-0.173769658,0.664130765,1,-0.349633209,0.38231848,0.896936131,-0.147370588,0.71268224,1
Pygm,ENSMUSG00000032648,5.640736918,0.000368143,0.020075707,1.858859471,0.240453512,0.974532838,1.136596629,0.472907211,0.927956189,-2.645280817,0.094842514,1
Ahnak,ENSMUSG00000069833,-0.415317764,0.052260587,0.272978982,-0.465779769,0.029496388,0.883122691,0.083296356,0.697100992,0.972133914,0.03283435,0.8780295,1
Cst3,ENSMUSG00000027447,-0.079359434,0.743372262,0.918370748,0.206724771,0.393757875,1,-0.120502745,0.619112458,0.963426928,0.165581461,0.494536599,1
Tnni2,ENSMUSG00000031097,6.030260132,0.001470662,0.039957438,2.142661911,0.258431522,0.976047576,0.992049528,0.600806655,0.960820737,-2.895548694,0.126729238,1
Mybpc2,ENSMUSG00000038670,5.95408551,0.00498155,0.07694156,1.586702587,0.454227213,1,1.47942814,0.485307243,0.929672814,-2.887954782,0.173170029,1
Ces1d,ENSMUSG00000056973,-0.337023231,0.395714199,0.726597074,-0.454978912,0.251567624,0.974532838,0.061663085,0.876516694,0.992227426,-0.056292596,0.887188853,1
Col1a1,ENSMUSG00000001506,-0.812685988,0.097643932,0.37559489,1.549594211,0.001586604,0.396670602,-1.389717596,0.004618831,0.227299527,0.972562603,0.047450988,1
Eno3,ENSMUSG00000060600,5.650607188,0.000324982,0.018559167,2.134037479,0.174593123,0.963672071,0.804872315,0.608627923,0.962079529,-2.711697394,0.084531027,1
C3,ENSMUSG00000024164,-0.648272141,0.053168154,0.27683256,-0.61478215,0.066705082,0.962016865,0.062833669,0.851349221,0.990031543,0.09632366,0.773871513,1
Actb,ENSMUSG00000029580,-0.48237298,0.068827062,0.315278727,0.442501055,0.095070903,0.962016865,-0.645758842,0.014857989,0.382495686,0.279115194,0.292380154,1
Txnip,ENSMUSG00000038393,0.189205293,0.483266341,0.78810842,-0.232715503,0.388556865,1,0.415268981,0.123901383,0.708660718,-0.006651815,0.980336446,1
Myl1,ENSMUSG00000061816,5.764321225,0.000153269,0.012903383,1.767331257,0.245740503,0.974532838,0.982255103,0.518839177,0.941552615,-3.014734865,0.04771375,1
Ccn2,ENSMUSG00000019997,-0.306412317,0.424223045,0.745873874,0.252035474,0.510997615,1,0.018318777,0.961896674,0.998063777,0.576766569,0.13253095,1
Ftl1,ENSMUSG00000050708,-0.38255635,0.109561878,0.397383412,-0.013996946,0.953311583,1,-0.268039683,0.262243816,0.82367073,0.100519721,0.674125879,1
Ifi27l2a,ENSMUSG00000079017,-0.286050674,0.260150756,0.6015504,-0.418293016,0.099630612,0.962016865,-0.036414044,0.886026477,0.992623792,-0.168656386,0.506706494,1
Rpsa,ENSMUSG00000032518,0.298153756,0.139682845,0.451558098,0.344627814,0.087789026,0.962016865,-0.027687713,0.890906834,0.992623792,0.018786345,0.925854259,1
Aldh2,ENSMUSG00000029455,-0.469340679,0.168879978,0.49399848,-0.253746,0.456973337,1,-0.220996101,0.517115412,0.941181856,-0.005401421,0.987366439,1
Cavin1,ENSMUSG00000004044,-0.445794094,0.032213558,0.211594695,-0.254801187,0.220882692,0.97006561,-0.121655757,0.55894265,0.953852625,0.06933715,0.739009985,1
Hsp90ab1,ENSMUSG00000023944,0.363555172,0.09607848,0.372201288,0.181523353,0.406038545,1,0.203231877,0.352233882,0.878290707,0.021200059,0.92269335,1
Selenop,ENSMUSG00000064373,-0.386547,0.030047431,0.204199554,-0.189769149,0.286849141,0.982010637,-0.053195578,0.765313291,0.980337312,0.143582273,0.420264685,1
Ppp2r5a,ENSMUSG00000026626,-0.461588686,0.1486308,0.467081724,-0.427732591,0.180730971,0.964324095,-0.284609924,0.373167323,0.890101882,-0.25075383,0.432620036,1
Timp2,ENSMUSG00000017466,-0.540056159,0.091983316,0.365522699,0.242400801,0.449457571,1,-0.372064673,0.245706826,0.811758501,0.410392287,0.200364288,1
Thrsp,ENSMUSG00000035686,-0.283175597,0.544149497,0.825942846,-0.118713284,0.799271558,1,-0.636526622,0.172752247,0.752418302,-0.472064309,0.311927536,1
Tkt,ENSMUSG00000021957,-0.555010597,0.150736944,0.469844407,0.190926195,0.621046245,1,-1.245408031,0.001262205,0.110105803,-0.499471238,0.195918455,1
C4b,ENSMUSG00000073418,-0.384415579,0.291317834,0.633662228,-0.638209781,0.079799991,0.962016865,0.390342959,0.2839761,0.835265532,0.136548757,0.707775946,1
F13a1,ENSMUSG00000039109,-0.328152479,0.407666015,0.734596069,0.439160681,0.267804883,0.976047576,-0.556524882,0.160247535,0.742166664,0.210788277,0.594806589,1
Aoc3,ENSMUSG00000019326,-0.752409436,0.044603108,0.252311472,-0.870151089,0.020197411,0.83361379,0.093172284,0.803605689,0.983444808,-0.02456937,0.94770682,1
Cat,ENSMUSG00000027187,-0.502818412,0.097619942,0.37559489,-0.488821005,0.107307049,0.962016865,-0.061688804,0.838966088,0.988273786,-0.047691398,0.875142839,1
Tmsb4x,ENSMUSG00000049775,-0.286664545,0.320211383,0.662058172,0.502349776,0.081516157,0.962016865,-0.472157846,0.10158683,0.678716453,0.316856475,0.271876605,1
Eif4g2,ENSMUSG00000005610,0.505267631,0.052231194,0.272904946,0.161698292,0.534461608,1,0.349591086,0.179243485,0.755913056,0.006021747,0.981542768,1
Atp1a2,ENSMUSG00000007097,0.476285343,0.254289977,0.595491327,0.257307247,0.537990229,1,0.275331814,0.509893431,0.939164603,0.056353719,0.892705691,1
Pde4dip,ENSMUSG00000038170,4.601477751,0.000311329,0.018004725,1.320432172,0.300803475,0.982391778,1.413993986,0.267843703,0.825772922,-1.867051593,0.143469875,1
Pcx,ENSMUSG00000024892,-0.526722628,0.152364732,0.472078953,-0.524453114,0.154106593,0.962016865,-0.531448802,0.148727873,0.730767194,-0.529179287,0.150420071,1
Dpt,ENSMUSG00000026574,-0.575868884,0.045565281,0.255097289,-0.313800139,0.275898697,0.9789613,-0.375064776,0.192867392,0.769876117,-0.112996031,0.694787436,1
Pkm,ENSMUSG00000032294,2.384951451,1.72E-06,0.000912692,0.920159679,0.064922136,0.962016865,0.73932537,0.138044289,0.719193364,-0.725466402,0.145623907,1
Aplp2,ENSMUSG00000031996,-0.396033113,0.172567181,0.498304148,-0.434087768,0.134895186,0.962016865,0.019438465,0.94662624,0.997317572,-0.01861619,0.948872844,1
Lars2,ENSMUSG00000035202,0.187138453,0.838070628,0.955286822,1.702109008,0.06306202,0.962016865,-0.689230134,0.451649322,0.922784436,0.825740421,0.367201033,1
Tpm2,ENSMUSG00000028464,4.750891562,0.000118353,0.011229086,2.843337234,0.021220866,0.841522917,-0.221542739,0.857525172,0.990920486,-2.129097068,0.084506852,1
Malat1,ENSMUSG00000092341,-0.034915072,0.959698087,0.992806397,-1.200215621,0.082369097,0.962016865,-0.040350494,0.953431038,0.998007965,-1.205651043,0.080988112,1
Lyz2,ENSMUSG00000069516,-0.728183078,0.06524246,0.307130885,0.359141743,0.363197553,0.992247578,-0.665828341,0.091854611,0.667748834,0.42149648,0.285890333,1
Rpl4,ENSMUSG00000032399,0.406748759,0.063207488,0.30225567,0.276595103,0.206511703,0.967822701,0.183149937,0.402887304,0.904106051,0.05299628,0.80874882,1
Ywhag,ENSMUSG00000051391,-0.2376785,0.406651232,0.73412563,-0.458686758,0.10927667,0.962016865,-0.034056634,0.905359372,0.994318114,-0.255064892,0.373152593,1
Des,ENSMUSG00000026208,4.621751887,0.000506515,0.022590627,1.762979158,0.184684049,0.964658317,0.833715418,0.530464403,0.945868426,-2.025057312,0.127613038,1
Sptbn1,ENSMUSG00000020315,-0.561337463,0.043304946,0.247938789,-0.614924664,0.026853459,0.872610853,0.096445914,0.728475478,0.973650488,0.042858714,0.877370395,1
Lamp1,ENSMUSG00000031447,0.033184221,0.876674387,0.968062185,0.117084487,0.584015349,1,0.033260473,0.876401055,0.992227426,0.11716074,0.583746604,1
Ehd2,ENSMUSG00000074364,-0.436517025,0.163620907,0.487358457,-0.493660601,0.11517549,0.962016865,0.048536138,0.876920118,0.992326512,-0.008607438,0.978084985,1
Rplp1,ENSMUSG00000007892,0.260911401,0.153516491,0.473559977,0.37927113,0.038016096,0.915023213,-0.10414875,0.568874979,0.955986646,0.014210978,0.938037758,1
Hp,ENSMUSG00000031722,0.027531565,0.949837615,0.990495143,-0.34410605,0.431683092,1,-0.071120609,0.870903224,0.992190672,-0.442758225,0.311654207,1
mt-Rnr2,ENSMUSG00000064339,1.243402802,0.221013707,0.560442277,1.81050024,0.074747497,0.962016865,-0.440564054,0.664552234,0.968819509,0.126533384,0.900887122,1
Rplp0,ENSMUSG00000067274,0.394933869,0.112039855,0.401980526,0.521813154,0.035778879,0.915023213,0.176796974,0.476859492,0.928199428,0.303676259,0.221777405,1
Tpi1,ENSMUSG00000023456,2.319328324,0.000907862,0.030372737,0.916776837,0.189728,0.964658317,0.826561403,0.237059511,0.807130966,-0.575990083,0.410002671,1
Ctsd,ENSMUSG00000007891,-0.317797445,0.142678785,0.457041082,0.137099034,0.52708982,1,-0.434830172,0.044895313,0.567529753,0.020066307,0.926243382,1
Pcsk6,ENSMUSG00000030513,-0.344048068,0.171708143,0.497265893,-0.213905127,0.395505666,1,0.200330014,0.426201062,0.912242912,0.330472956,0.189223659,1
Slc25a4,ENSMUSG00000031633,2.864697095,0.002072998,0.048719518,1.583025255,0.08879502,0.962016865,0.421812553,0.65021237,0.968819509,-0.859859287,0.355311124,1
Neb,ENSMUSG00000026950,6.053963076,0.002104404,0.04886891,1.697226553,0.388605841,1,1.269283676,0.519076979,0.941552615,-3.087452847,0.116823063,1
Cdo1,ENSMUSG00000033022,-0.335336203,0.150235485,0.469423719,-0.705288539,0.002476077,0.489854588,-0.116089664,0.618478223,0.963426928,-0.486042001,0.037002851,1
Nnat,ENSMUSG00000067786,0.045235977,0.921685071,0.983339272,-0.545976428,0.235405761,0.974532838,0.438942233,0.340125537,0.873361462,-0.152270172,0.740693547,1
Actg1,ENSMUSG00000062825,-0.561477805,0.056979968,0.287740013,0.257879773,0.381985373,0.99955883,-0.368390903,0.211732815,0.786785628,0.450966676,0.126285919,1
Mgll,ENSMUSG00000033174,-0.398355406,0.179751012,0.507670919,-0.403002348,0.174707785,0.963672071,-0.152211751,0.608258002,0.962079529,-0.156858693,0.597288246,1
Tmbim6,ENSMUSG00000023010,-0.205896635,0.266291573,0.608918705,-0.122832929,0.507224197,1,0.003969108,0.982905845,1,0.087032814,0.638385228,1
Gpx1,ENSMUSG00000063856,-0.261844875,0.217578064,0.557167509,0.020654446,0.922516625,1,-0.22658207,0.286034579,0.837920383,0.055917251,0.79228725,1
Ybx3,ENSMUSG00000030189,2.475568817,NA,NA,1.229311402,NA,NA,0.764591144,NA,NA,-0.481666271,NA,NA
Rps4x,ENSMUSG00000031320,0.028645189,0.868143974,0.965549695,0.19194299,0.265980171,0.976047576,-0.012830597,0.940728813,0.997080014,0.150467205,0.38315995,1
Cyp2f2,ENSMUSG00000052974,-0.52337569,0.241866202,0.584247808,-0.735691976,0.099953703,0.962016865,0.233376595,0.601789879,0.961802394,0.021060309,0.96243693,1
Ybx1,ENSMUSG00000028639,0.766248114,0.004480565,0.0736439,0.311442847,0.248024595,0.974532838,0.35165503,0.192104846,0.769289531,-0.103150237,0.702025805,1
Plaat3,ENSMUSG00000060675,-0.173159302,0.498098095,0.798459668,-0.325402719,0.202940292,0.967822701,-0.116196784,0.649404184,0.968819509,-0.268440201,0.29353086,1
Ywhab,ENSMUSG00000018326,-0.093015545,0.74920543,0.920819175,-0.424571849,0.144509794,0.962016865,0.197523376,0.497253799,0.934365234,-0.134032928,0.645019366,1
Col4a1,ENSMUSG00000031502,-0.923091178,0.002876269,0.057117667,-0.168375567,0.586632226,1,-0.510873296,0.099048202,0.674367717,0.243842315,0.431000157,1
Igfbp7,ENSMUSG00000036256,-0.287957662,0.298939987,0.640541727,0.158047832,0.568591084,1,-0.336234651,0.225204025,0.796838667,0.109770843,0.692110458,1
Ptms,ENSMUSG00000030122,-0.316221505,0.204312752,0.542775745,0.142066534,0.568462846,1,-0.38550643,0.121764386,0.703390277,0.072781609,0.770141234,1
Rpl7,ENSMUSG00000043716,0.118053503,0.505509035,0.802915832,0.217108424,0.220784961,0.97006561,0.042174782,0.811994925,0.984640052,0.141229703,0.425697192,1
Sparcl1,ENSMUSG00000029309,-0.340205301,0.080833672,0.341623722,-0.065510739,0.736738819,1,-0.038418133,0.843733813,0.988361655,0.236276429,0.225247936,1
Ryr1,ENSMUSG00000030592,5.904624792,0.001573121,0.041423209,1.924217448,0.302949812,0.982391778,1.225623494,0.511731801,0.939995511,-2.75478385,0.140302206,1
Rpl13,ENSMUSG00000000740,0.253584331,0.216545122,0.556077206,0.333454515,0.104177168,0.962016865,0.000448308,0.998256911,1,0.080318492,0.695499021,1
Hspa8,ENSMUSG00000015656,0.267105005,0.357351246,0.694109894,0.384872719,0.184786297,0.964658317,0.141379178,0.626138752,0.965219596,0.259146892,0.371872947,1
Kif1c,ENSMUSG00000020821,1.577260715,0.000471454,0.02223094,0.611944797,0.174930746,0.963672071,0.7143611,0.113274366,0.68937528,-0.250954817,0.578014723,1
Ddx5,ENSMUSG00000020719,-0.126629315,0.512556239,0.808653746,-0.085219833,0.659432073,1,0.04338934,0.822481838,0.986184468,0.084798822,0.660961564,1
Ndrg2,ENSMUSG00000004558,1.746009194,0.000614467,0.024688793,0.579188954,0.255866573,0.974532838,0.469990563,0.356516146,0.881228111,-0.696829677,0.171646968,1
Rps14,ENSMUSG00000024608,0.48753189,0.079579982,0.339042108,0.40586191,0.14444871,0.962016865,0.065016048,0.815144049,0.985240159,-0.016653932,0.952247505,1
Rack1,ENSMUSG00000020372,0.384696023,0.117119051,0.410592144,0.255689179,0.297667927,0.982391778,0.163844058,0.504535951,0.93774399,0.034837214,0.887159947,1
Rpl10,ENSMUSG00000008682,0.088997273,0.586735952,0.849313959,0.230253604,0.159672849,0.962016865,0.043280758,0.791536706,0.982089958,0.184537088,0.25969373,1
Laptm4a,ENSMUSG00000020585,-0.016202627,0.92531131,0.983339272,0.058224851,0.736210688,1,-0.0291894,0.865903489,0.99209571,0.045238079,0.793499607,1
Calm1,ENSMUSG00000001175,0.44452804,0.120654104,0.416232564,0.212282465,0.458617912,1,0.292721249,0.306787961,0.852838668,0.060475675,0.832778392,1
Neat1,ENSMUSG00000092274,0.187909238,0.412227049,0.737656466,-0.044468178,0.846125733,1,-0.110359355,0.630111343,0.966341626,-0.342736771,0.134716481,1
Chpt1,ENSMUSG00000060002,0.059853853,0.827121205,0.951676864,-0.149235596,0.586043843,1,-0.174340826,0.524695191,0.943628528,-0.383430275,0.161751013,1
mt-Rnr1,ENSMUSG00000064337,1.225150549,0.249241182,0.590330587,1.717235647,0.106316788,0.962016865,-0.271696553,0.798321053,0.983072708,0.220388545,0.835805635,1
