external_gene_name,gene,HU_No_Ex_vs_NL_No_Ex_log2FoldChange,HU_No_Ex_vs_NL_No_Ex_pvalue,HU_No_Ex_vs_NL_No_Ex_padj,HU_Ex_vs_NL_Ex_log2FoldChange,HU_Ex_vs_NL_Ex_pvalue,HU_Ex_vs_NL_Ex_padj,HU_No_Ex_vs_HU_Ex_log2FoldChange,HU_No_Ex_vs_HU_Ex_pvalue,HU_No_Ex_vs_HU_Ex_padj,NL_No_Ex_vs_NL_Ex_log2FoldChange,NL_No_Ex_vs_NL_Ex_pvalue,NL_No_Ex_vs_NL_Ex_padj
Sec24d,ENSMUSG00000039234,-0.392507816,0.214208906,0.554113675,0.069502222,0.825931265,1,-0.160419798,0.611915471,0.962518608,0.30159024,0.339640904,1
Tut7,ENSMUSG00000035248,-0.304730005,0.117864338,0.412077075,-0.424182453,0.02946245,0.883122691,0.034062108,0.861514074,0.991142945,-0.08539034,0.660532457,1
Prkag2,ENSMUSG00000028944,-0.442167711,0.001398216,0.038993482,-0.375695365,0.006618847,0.683868694,-0.022713156,0.870196612,0.992190672,0.043759191,0.750733549,1
Dgkz,ENSMUSG00000040479,0.178763902,0.399265673,0.729110349,0.232624877,0.273092907,0.976758119,0.12406522,0.558810295,0.953852625,0.177926196,0.401559239,1
Cab39l,ENSMUSG00000021981,0.028770831,0.844334577,0.956991739,-0.279966552,0.056396817,0.962016865,0.267165804,0.069109311,0.625802844,-0.041571579,0.77626713,1
Golga3,ENSMUSG00000029502,0.169117803,0.599616664,0.855872484,-0.254822177,0.429119998,1,0.348748122,0.279291475,0.832266518,-0.075191859,0.815411725,1
Rnf114,ENSMUSG00000006418,0.210312292,0.347909368,0.68693138,0.053144669,0.812541366,1,0.09844956,0.660539884,0.968819509,-0.058718063,0.79320281,1
Sec13,ENSMUSG00000030298,0.103780622,0.681001723,0.894959539,0.401738782,0.111464295,0.962016865,-0.217449207,0.389062977,0.899677978,0.080508954,0.749738689,1
Pdcd6,ENSMUSG00000021576,-0.526839537,0.039802459,0.23804587,0.15055933,0.556390169,1,-0.596171031,0.020053185,0.42593187,0.081227836,0.750880248,1
Sgpp1,ENSMUSG00000021054,-0.329799244,0.190838153,0.524021004,-0.01696695,0.946332218,1,-0.188993115,0.453840504,0.922914514,0.12383918,0.622933974,1
Slc6a8,ENSMUSG00000019558,0.972291683,0.020297232,0.167265607,0.813486242,0.052299486,0.960874998,0.451798714,0.280797655,0.833985848,0.292993273,0.484616907,1
Tshr,ENSMUSG00000020963,-0.783395661,0.124118281,0.4228936,-1.116889059,0.028335619,0.881074226,0.036637624,0.942702363,0.997080014,-0.296855774,0.559821097,1
Ndufc2,ENSMUSG00000030647,0.358407099,0.145504863,0.461477396,0.46611816,0.058298235,0.962016865,-0.149495066,0.54365049,0.949210231,-0.041784005,0.865254819,1
Erp29,ENSMUSG00000029616,-0.107477365,0.55497684,0.831746318,0.170016043,0.349692845,0.98891856,-0.342430345,0.060091697,0.606949938,-0.064936938,0.720852794,1
Btbd7,ENSMUSG00000041702,-0.378386867,0.091796507,0.364987795,-0.185115306,0.409365264,1,-0.109631873,0.625646166,0.965206841,0.083639688,0.708968536,1
Lemd2,ENSMUSG00000044857,0.047333769,0.784860042,0.937208185,0.060354101,0.727934326,1,0.063134716,0.716120452,0.973276298,0.076155047,0.660284348,1
Pdcd4,ENSMUSG00000024975,-0.448226875,0.202526954,0.539734174,-0.388103753,0.269705828,0.976047576,-0.134044209,0.703287407,0.972671049,-0.073921087,0.833394328,1
Top1,ENSMUSG00000070544,-0.094261166,0.714906573,0.907484602,-0.396237681,0.124647456,0.962016865,0.118533194,0.646313595,0.968819509,-0.183443321,0.476717626,1
Rusc2,ENSMUSG00000035969,-0.192454766,0.475415429,0.782991165,-0.075851564,0.77859854,1,0.11108142,0.680674975,0.970751507,0.227684623,0.398267436,1
Pds5a,ENSMUSG00000029202,-0.156047791,0.446057241,0.761637789,-0.197503948,0.334572884,0.988173535,-0.06945282,0.734785102,0.974697462,-0.110908977,0.58748841,1
Micall1,ENSMUSG00000033039,-0.414292375,0.227797519,0.567421186,-0.907742306,0.008250312,0.723154483,0.362358299,0.292062855,0.841583962,-0.131091633,0.702497989,1
Vps33a,ENSMUSG00000029434,0.16593395,0.361188209,0.696507901,-0.179959617,0.322516523,0.988173535,0.292410007,0.108170949,0.68319079,-0.05348356,0.76837932,1
Taf10,ENSMUSG00000043866,0.150686391,0.51358545,0.809209585,0.229561949,0.319443289,0.986285417,-0.149396784,0.517238823,0.941181856,-0.070521226,0.75969621,1
Otud5,ENSMUSG00000031154,-0.380988925,0.04751704,0.260038164,0.154250236,0.422104507,1,-0.314674736,0.10206991,0.678716453,0.220564425,0.250476081,1
Hadhb-ps,ENSMUSG00000063684,0.324973927,0.164708115,0.488618381,0.002988781,0.989800405,1,0.034750738,0.881903838,0.992623792,-0.287234408,0.219177493,1
